address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),review_count,sentiment_score,popularity_score,food_mentions,ambiance_mentions,authenticity_mentions,service_mentions,value_mentions,food_score,ambiance_score,authenticity_score,service_score,value_for_money_score
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,1,0,3.8,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","['Churros', 'Cannelloni', 'Minestrone Soup', 'Hot Chocolate', 'Pink Sauce Pasta', 'Salsa', 'Veg Supreme Pizza']","['Cafe', 'Mexican', 'Italian']",800.0,Cafes,25,0.777768,0.5437751028341916,44,19,4,22,5,0.598480753968254,0.5709916666666667,0.552225,0.6032055555555556,0.59286
"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,1,0,3.8,90,"080 26768182
+91 9845704455",Banashankari,Cafe,"['Garlic Bread', 'Burgers', 'Sandwiches', 'Pizza', 'Hot Chocolate Fudge', 'Waffles', 'Potato Wedges']",['Cafe'],650.0,Cafes,3,0.7025,0.3594885291399664,5,7,0,4,0,0.7187333333333333,0.5996875,0.5,0.6911,0.5
"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Catch-up-ino,1,0,3.9,133,"+91 9972988038
+91 9900121238",Banashankari,Cafe,"['Momos', 'Mushroom Bruschettas', 'Jalapeno Cheeseballs', 'Pasta', 'Red Velvet Shake', 'Red Velvet Milkshake', 'Maggi']","['Cafe', 'Fast Food', 'Continental', 'Chinese', 'Momos']",800.0,Cafes,1,0.9699,0.40060034830828095,4,1,0,1,0,0.6579333333333334,0.7896,0.5,0.7896,0.5
"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,1,0,3.8,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"['Pasta', 'Gelato', 'Garlic Bread', 'Mojito', 'Nachos', 'Paneer Pizza', 'Mocktails']","['Chinese', 'Cafe', 'Italian']",700.0,Cafes,2,0.887475,0.3966159199592286,4,0,0,0,1,0.6549208333333333,0.5,0.5,0.5,0.7787
"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",T3H Cafe,0,0,3.9,93,+91 8884726600,Banashankari,Cafe,"['Cheese Maggi', 'Peri Peri Fries', 'Pasta Arrabiata']","['Cafe', 'Italian', 'American']",300.0,Cafes,2,0.6164000000000001,0.37160167473480865,3,1,1,3,3,0.4431125,0.5,0.76835,0.618275,0.55575
"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",360 Atoms Restaurant And Cafe,1,0,3.1,13,+91 9880594520,Banashankari,Cafe,[],"['Cafe', 'Chinese', 'Continental', 'Italian']",400.0,Cafes,4,0.9065624999999999,0.17157446687928024,4,3,0,4,1,0.7366166666666667,0.906425,0.5,0.86405,0.9674499999999999
"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,1,0,3.0,62,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"['Burgers', 'Caramel Milkshake', 'Iced Coffee', 'Iced Tea']","['Cafe', 'French', 'North Indian']",400.0,Cafes,4,0.5362375,0.26067083924462076,7,4,2,2,2,0.5216083333333333,0.85215,0.628925,0.20320000000000005,0.053700000000000025
"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Woodee Pizza,1,0,3.7,180,+91 7406822844,Banashankari,Cafe,"['Pizza', 'Garlic Bread']","['Cafe', 'Pizza', 'Fast Food', 'Beverages']",500.0,Cafes,1,0.6547000000000001,0.4033867825312497,1,0,0,1,0,0.6246333333333334,0.5,0.5,0.5,0.5
"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Cafe Coffee Day,0,0,3.6,28,080 32486296,Banashankari,Cafe,[],"['Cafe', 'Fast Food']",900.0,Cafes,9,0.7847111111111111,0.25422948215405056,6,7,2,11,3,0.538505,0.7759333333333334,0.41507499999999997,0.6683666666666667,0.542625
"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,1,0,3.6,62,"080 65975430
+91 7337733798",Banashankari,"Quick Bites, Cafe","['Pasta', 'Iced Tea']","['Italian', 'Fast Food', 'Cafe', 'European']",600.0,Cafes,1,0.985,0.3128050070935449,1,1,1,0,1,0.5,0.585,0.7202,0.5,0.67
"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Hide Out Cafe,0,0,3.7,31,+91 9901481185,Banashankari,Cafe,[],['Cafe'],300.0,Cafes,13,0.9419961538461539,0.2689300477667098,15,12,3,17,11,0.8095175,0.7069178571428572,0.8466166666666666,0.8098361111111111,0.730940625
"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,0,0,3.2,11,+91 8971090261,Banashankari,Cafe,[],"['Cafe', 'Bakery']",600.0,Cafes,6,0.7987083333333334,0.1667639587564634,5,2,2,1,0,0.7391625,0.744175,0.978325,0.5,0.5
"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,1,0,3.8,75,+91 9945758046,Banashankari,"Cafe, Quick Bites",[],"['Cafe', 'South Indian']",200.0,Cafes,211,0.6182921800947867,0.34513355078954755,87,0,7,8,13,0.6189715753424657,0.5,0.7171571428571428,0.7530749999999999,0.41894230769230767
"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,0,0,3.3,4,+91 9008628448,Banashankari,Cafe,[],"['Cafe', 'Fast Food', 'Beverages']",500.0,Cafes,1,0.9359999999999999,0.1113859227268891,0,2,0,0,1,0.5,0.7553000000000001,0.5,0.5,0.8825000000000001
"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",Cuppa,0,0,3.3,23,+91 9591111123,Banashankari,Cafe,[],"['Cafe', 'Fast Food']",550.0,Cafes,6,0.764625,0.21994663828544841,2,3,0,8,1,0.455525,0.30074999999999996,0.5,0.69775625,0.5
"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,0,0,3.8,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","['Paratha', 'Sandwich', 'Chilli Idli', 'Noodles', 'Sandwiches', 'Lime Soda']","['North Indian', 'Cafe', 'Chinese', 'Fast Food']",550.0,Cafes,1,0.7173,0.39878459854954074,2,0,2,1,0,0.65745,0.5,0.65745,0.65745,0.5
"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,1,0,4.0,219,+91 9148421256,Basavanagudi,Cafe,"['Pizza', 'Fries', 'Anjeer Ice Cream', 'Sandwiches', 'Gelato', 'Burgers', 'Kesar Badam']","['Cafe', 'Italian']",600.0,Cafes,4,0.9885375000000001,0.4524630139347326,16,3,1,5,3,0.736175,0.6782375,0.9414,0.8532500000000001,0.7777000000000001
"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,1,0,2.8,506,+91 9916107070,Banashankari,Quick Bites,"['Burgers', 'Lassi', 'Chicken Grill', 'Naan', 'Momos', 'Chicken Burger', 'Biryani']","['North Indian', 'Fast Food', 'Chinese', 'Burger']",500.0,Delivery,575,0.4961221739130435,0.36575006074371647,292,6,33,51,38,0.46693009057971013,0.33670833333333333,0.4800469696969697,0.4666063829787234,0.36101875
"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Sweet Truth,1,0,3.9,35,+91 7710055553,Banashankari,Delivery,[],"['Bakery', 'Desserts']",500.0,Delivery,1,0.9108499999999999,0.29310042662669916,2,0,0,0,0,0.6853666666666667,0.5,0.5,0.5,0.5
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,1,0,3.9,172,+91 7738383000,Banashankari,Delivery,"['Paneer Tikka', 'Garlic Bread', 'Thin Crust Pizza', 'Falafel', 'Veggie Pizza']",['Pizza'],750.0,Delivery,6,0.9743250000000001,0.421494065140848,15,0,1,2,0,0.8149066666666667,0.5,0.8450500000000001,0.802275,0.5
"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,1,0,4.2,415,+91 7700020020,Banashankari,Quick Bites,"['Rolls', 'Veggie Wrap', 'Chocolate Fantasy', 'Rice Bowls', 'Chicken Rice', 'Paneer Makhanwala', 'Chicken Tikka Wrap']","['North Indian', 'Biryani', 'Fast Food']",500.0,Delivery,120,0.9323304166666666,0.5312000329601333,307,1,39,5,28,0.7927564147534013,0.23099999999999998,0.7660785714285714,0.47802,0.777511111111111
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,1,0,3.9,230,"+91 7022260661
+91 7022260662",Banashankari,Delivery,"['Raita', 'Gulab Jamun', 'Paneer Biryani', 'Vegetable Biryani', 'Gosht Dum Biryani', 'Chicken Biryani', 'Murgh Biryani']",['Biryani'],650.0,Delivery,9,0.9586611111111112,0.44514204619269887,24,1,4,0,2,0.6699796296296296,0.5,0.7424,0.5,0.585
"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",Fast And Fresh,1,0,2.8,91,+91 9742974232,Banashankari,Quick Bites,[],"['North Indian', 'Chinese', 'Fast Food']",400.0,Delivery,179,0.5796664804469274,0.2655280605223897,150,1,5,20,10,0.6198512376237624,0.74695,0.43782,0.638785,0.6305125
"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,1,0,4.2,1647,"00 919663567711
+91 9916326323",Banashankari,Casual Dining,"['Noodles', 'Momos', 'Veg Manchow Soup', 'Kung Pao Chicken', 'Chicken Lollipop', 'Chop Suey', 'Dragon Chicken']","['Chinese', 'Thai', 'Momos']",600.0,Delivery,13,0.8207692307692307,0.6524577626153666,17,5,0,8,6,0.6658111111111111,0.70955,0.5,0.6880375000000001,0.6210600000000001
"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,1,0,4.4,4884,080 49653266,Jayanagar,Casual Dining,"['Chicken Tikka Masala', 'Mutton Keema Dosa', 'Mutton Biryani', 'Raan Biryani', 'Brain Fry', 'Chicken Grill', 'Ghee Rice']","['North Indian', 'Mughlai', 'South Indian', 'Chinese']",750.0,Delivery,84,0.8748499999999999,0.7837963120561084,179,52,17,80,37,0.6245253233830845,0.6965689024390244,0.6127875,0.6386131147540983,0.720622
"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Maruthi Davangere Benne Dosa,1,0,4.0,17,+91 9019563485,Banashankari,Quick Bites,[],['South Indian'],150.0,Delivery,1,0.8234,0.2424687848262656,1,0,0,0,0,0.3853,0.5,0.5,0.5,0.5
"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,1,0,3.8,133,+91 8884232233,Basavanagudi,Quick Bites,"['Dabeli', 'Faluda', 'Masala Poori', 'Sandwiches', 'Tokri Chaat', 'Pav Bhaji', 'Dahipuri']","['Street Food', 'Fast Food']",200.0,Delivery,2,0.90025,0.39032854450550447,1,1,0,0,2,0.5,0.97065,0.5,0.5,0.820325
"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Havyaka Mess,0,0,3.9,28,"+91 9243195843
+91 9243404670",Banashankari,Mess,[],['South Indian'],300.0,Delivery,1,0.8243,0.27541527233355473,1,1,0,2,1,0.5,0.7383500000000001,0.5,0.574,0.7383500000000001
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,1,0,3.9,286,"080 66000666
080 42005285",Banashankari,Quick Bites,"['Burgers', 'Fries', 'Hot Chocolate']","['Burger', 'Fast Food']",500.0,Delivery,2,0.9565,0.46289601936358743,3,2,0,1,0,0.867075,0.918675,0.5,0.85015,0.5
"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,1,0,3.9,540,"080 26710070
18602100000",Banashankari,Quick Bites,"['Pane Pizza', 'Lava Cake', 'Pasta', 'Stuffed Garlic Bread', 'Chocolava Cake', 'Tacos']","['Pizza', 'Fast Food']",800.0,Delivery,5,0.70747,0.5147465123667824,6,3,1,4,0,0.6574466666666666,0.77225,0.5,0.5954833333333334,0.5
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,1,1,4.6,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","['Farmhouse Pizza', 'Chocolate Banana', 'Virgin Mojito', 'Pasta', 'Paneer Tikka', 'Lime Soda', 'Prawn Pizza']","['Pizza', 'Cafe', 'Italian']",600.0,Delivery,109,0.9669477064220182,0.7569739431657684,270,121,37,258,5,0.7324001529051988,0.8207424999999999,0.7397418918918919,0.7997740500000001,0.7734300000000001
"2nd Stage, Banashankari, Bangalore",Hotboxit,0,0,3.8,36,"+91 7026677677
+91 7026577577",Banashankari,Delivery,['Prompt Service'],"['North Indian', 'Continental', 'Italian']",400.0,Delivery,71,0.8880394366197182,0.2877685654776624,128,0,2,16,6,0.716139552238806,0.5,0.8591125,0.751853125,0.72445
"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,1,0,3.6,244,080 49652867,Kumaraswamy Layout,Quick Bites,['Biryani'],"['North Indian', 'Chinese']",300.0,Delivery,2,0.797175,0.4153427844408083,5,1,0,0,0,0.7015,0.44730000000000003,0.5,0.5,0.5
"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,1,0,4.0,804,"+91 8043755256
+91 9886073774",Kumaraswamy Layout,Casual Dining,"['Butter Chicken', 'Noodles', 'Thali', 'Biryani']","['North Indian', 'Chinese', 'Biryani', 'Rolls']",450.0,Delivery,1,0.9741,0.5612843372268254,3,0,0,0,0,0.64962,0.5,0.5,0.5,0.5
"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,1,0,3.7,679,"080 28606888
080 28606886",Rajarajeshwari Nagar,Casual Dining,"['Momos', 'Dragon Chicken', 'Hakka Noodles', 'Chowmein', 'Chop Suey', 'Chilli Garlic Noodles', 'Garlic Rice']","['Chinese', 'Thai']",850.0,Delivery,6,0.7244666666666667,0.5060935907822317,12,2,2,1,2,0.6316166666666667,0.703025,0.7134750000000001,0.6366,0.8957999999999999
"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,1,0,3.1,245,"+91 8553317408
+91 7899687127",Kumaraswamy Layout,Quick Bites,"['Paratha', 'Pasta']","['North Indian', 'Chinese', 'Momos', 'Rolls']",300.0,Delivery,1,0.78905,0.35792110791658754,1,0,0,0,0,0.31435,0.5,0.5,0.5,0.5
"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",Petoo,0,0,3.7,21,+91 8026893211,Banashankari,Quick Bites,[],['North Indian'],450.0,Delivery,1,0.707,0.2398550316425009,3,0,1,0,1,0.5506666666666666,0.5,0.09155000000000002,0.5,0.62895
"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",Shree Cool Point,1,0,4.1,28,+91 9900617124,Vijay Nagar,Quick Bites,[],"['Fast Food', 'Street Food', 'Beverages']",150.0,Delivery,2,0.829,0.2895391324532242,3,1,1,1,3,0.636775,0.70955,0.70955,0.70955,0.70955
"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,0,0,4.3,345,"080 26713965
+91 9845444155",Banashankari,Dessert Parlor,"['Hot Chocolate Fudge', 'Vanilla Ice Cream', 'Fudge Cake', 'Chocolate Mousse']","['Ice Cream', 'Desserts']",400.0,Delivery,8,0.9185875,0.5272322908247009,7,3,1,5,2,0.731045,0.758375,0.36224999999999996,0.74185,0.9033
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,1,0,4.0,618,"080 48542442
+91 7337271771",Jayanagar,Casual Dining,"['Prawn Biryani', 'Dragon Chicken', 'Chicken Boneless Biryani', 'Afghani Biryani', 'Mughlai Biryani', 'Paneer Tikka Biryani', 'Gongura Biryani']","['Biryani', 'North Indian', 'Chinese', 'Andhra', 'South Indian']",750.0,Delivery,11,0.8763636363636363,0.5392437391298153,29,3,4,4,2,0.6943618181818182,0.6111166666666666,0.7506625,0.6723125,0.6883
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,0,0,4.0,1047,"080 42024092
080 42274242",Banashankari,Quick Bites,"['Pasta', 'Momos', 'Rolls', 'Chicken Roll', 'Chilli Chicken', 'Paneer Roll', 'Spaghetti']","['Italian', 'Continental', 'Fast Food', 'Chinese', 'Momos']",450.0,Delivery,12,0.8958208333333333,0.583413822068556,22,4,4,8,2,0.6764503472222222,0.7374875000000001,0.7641,0.6598208333333333,0.840325
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,1,0,3.9,627,080 40424242,Banashankari,Delivery,"['Salads', 'Sandwiches', 'Salad', 'Thai Rice', 'Pasta', 'Noodles', 'Pizza']","['Healthy Food', 'Chinese', 'Biryani', 'North Indian', 'Continental', 'Salad', 'American', 'Burger']",450.0,Delivery,6,0.7431666666666666,0.5269432933888768,14,1,1,0,0,0.6551354166666666,0.352,0.8787,0.5,0.5
"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,1,0,3.8,104,+91 9845632456,Banashankari,Quick Bites,[],"['Biryani', 'Fast Food']",300.0,Delivery,1,0.614,0.3708928106798268,2,0,0,0,0,0.614,0.5,0.5,0.5,0.5
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,1,1,4.2,354,"+91 8042111599
+91 8971818009",Banashankari,Casual Dining,"['Sushi', 'Noodles', 'Wine', 'Khau Suey', 'Mocktails', 'Yakisoba', 'Spring Roll']","['Asian', 'Korean', 'Indonesian', 'Japanese', 'Chinese', 'Thai', 'Momos']",800.0,Delivery,125,0.9505319999999999,0.5172329559078983,234,154,27,64,52,0.7315844666666667,0.8214839583333333,0.569187037037037,0.7518213768115942,0.7663690217391306
"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",Five Star Chicken,0,0,3.6,55,080 41716035,Banashankari,Quick Bites,[],"['Fast Food', 'Burger']",200.0,Delivery,5,0.68854,0.3039124352277773,6,2,0,2,4,0.71165,0.42345,0.5,0.87505,0.7625666666666666
"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",XO Belgian Waffle,1,0,3.7,17,+91 9920950331,Banashankari,Dessert Parlor,[],"['Desserts', 'Beverages']",400.0,Delivery,3,0.95625,0.2242836259642957,2,0,0,1,1,0.87115,0.5,0.5,0.79295,0.9426
"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,0,0,4.2,244,"+91 8042297555
+91 7022455300",Banashankari,Casual Dining,"['Pasta', 'Pepper Pizza', 'Paneer Pizza', 'Peppy Paneer', 'Nachos', 'Supreme Pizza', 'Manchow Soup']","['Italian', 'North Indian', 'Mexican']",800.0,Delivery,110,0.7595004545454546,0.48456658184760976,392,115,26,175,23,0.6843909403669725,0.6130599537037037,0.8002599358974359,0.6509474299065421,0.6470931818181818
"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,1,1,3.6,163,080 49653548,Kumaraswamy Layout,Casual Dining,"['Sea Food', 'Crab Meat', 'Crab Soup', 'Fish Curry', 'Chicken Cafreal', 'Butter Naan', 'Butter Chicken']","['Goan', 'Seafood', 'North Indian', 'Chinese', 'Biryani']",800.0,Delivery,4,0.941675,0.3850378661282581,9,4,1,3,0,0.8166916666666666,0.82025,0.93535,0.739375,0.5
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,1,0,3.8,58,"+91 9845914270
+91 8884889088",Basavanagudi,Quick Bites,[],['Chinese'],150.0,Delivery,13,0.6199538461538462,0.3249553518803058,14,0,2,0,4,0.43106666666666665,0.5,0.6356333333333333,0.5,0.59435
